benchmark_id,granularity,method_id,compiler_id,profile_condition,semantic_mode_off,semantic_mode_on,delta_num_semantic_classes,delta_num_intervals_total,delta_comparison_sites,delta_worst_case_depth,delta_expected_depth,delta_accept_predicate_expected_depth,delta_rollbackacc_predicate_expected_depth,delta_throughput_bytes_per_sec
BM1,coarse,B5_DAG,gcc_O2,A_to_B,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,-1560014.2476832569
BM1,coarse,B5_DAG,gcc_O3,A_to_B,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,-13473138.90825808
BM1,coarse,B5_DAG,gcc_Os,A_to_B,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,-5617800.793523759
BM1,coarse,B5_DAG,clang_O2,A_to_B,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,0.0
BM1,coarse,B5_DAG,clang_O3,A_to_B,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,104079093432.00684
BM1,coarse,B5_DAG,clang_Os,A_to_B,coarse,coarse,1,1,1,1,0.04262289966769117,0.0,0.0,-5332670.396175623
BM1,coarse,B1,gcc_O2,B_to_A,coarse,coarse,1,0,0,0,0.0,0.0,0.0,-1009134.8201473355
BM1,coarse,B1,gcc_O3,B_to_A,coarse,coarse,1,0,0,0,0.0,0.0,0.0,-1899184.1154408455
BM1,coarse,B1,gcc_Os,B_to_A,coarse,coarse,1,0,0,0,0.0,0.0,0.0,-1799487.322565347
BM1,coarse,B1,clang_O2,B_to_A,coarse,coarse,1,0,0,0,0.0,0.0,0.0,575488064791.1338
BM1,coarse,B1,clang_O3,B_to_A,coarse,coarse,1,0,0,0,0.0,0.0,0.0,1178654365079.3652
BM1,coarse,B1,clang_Os,B_to_A,coarse,coarse,1,0,0,0,0.0,0.0,0.0,-45284317.35872087
BM1,coarse,B2,gcc_O2,B_to_A,coarse,coarse,0,0,0,0,0.0,0.0,0.0,1567407.3777410686
BM1,coarse,B2,gcc_O3,B_to_A,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-1529154.009965688
BM1,coarse,B2,gcc_Os,B_to_A,coarse,coarse,0,0,0,0,0.0,0.0,0.0,2919630.0027703047
BM1,coarse,B2,clang_O2,B_to_A,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-469598260869.5654
BM1,coarse,B2,clang_O3,B_to_A,coarse,coarse,0,0,0,0,0.0,0.0,0.0,359386424134.8721
BM1,coarse,B2,clang_Os,B_to_A,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-2107451.1110937893
