benchmark_id,granularity,semantic_label_mode,rollback_split_condition,method_id,compiler,compiler_id,opt_level,profile_condition,status,error_message,classifier_source_bytes,generated_classifier_source_size_bytes,generated_scanner_source_size_bytes,compiled_instruction_count,classifier_instruction_count,transition_instruction_count,binary_size_bytes
BM1,coarse,coarse,off,B2,gcc,gcc_O2,-O2,same_B,completed,,951,951,27909,5,5,8,29528
BM1,coarse,coarse,off,B2,gcc,gcc_O3,-O3,same_B,completed,,951,951,27909,5,5,8,29456
BM1,coarse,coarse,off,B2,gcc,gcc_Os,-Os,same_B,completed,,951,951,27909,4,4,7,29488
BM1,coarse,coarse,off,B2,clang,clang_O2,-O2,same_B,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,off,B2,clang,clang_O3,-O3,same_B,completed,,951,951,27909,4,4,8,29456
BM1,coarse,coarse,off,B2,clang,clang_Os,-Os,same_B,completed,,951,951,27909,4,4,6,25352
BM1,coarse,coarse,off,B3,gcc,gcc_O2,-O2,same_B,completed,,1166,1166,32317,26,26,8,29488
BM1,coarse,coarse,off,B3,gcc,gcc_O3,-O3,same_B,completed,,1166,1166,32317,26,26,8,29416
BM1,coarse,coarse,off,B3,gcc,gcc_Os,-Os,same_B,completed,,1166,1166,32317,20,20,7,29448
BM1,coarse,coarse,off,B3,clang,clang_O2,-O2,same_B,completed,,1166,1166,32317,17,17,8,29456
BM1,coarse,coarse,off,B3,clang,clang_O3,-O3,same_B,completed,,1166,1166,32317,17,17,8,29456
BM1,coarse,coarse,off,B3,clang,clang_Os,-Os,same_B,completed,,1166,1166,32317,17,17,6,29456
BM1,coarse,coarse,off,B4,gcc,gcc_O2,-O2,same_B,completed,,1164,1164,28113,23,23,8,29488
