benchmark_id,granularity,semantic_label_mode,rollback_split_condition,method_id,compiler,compiler_id,opt_level,profile_source,profile_condition,profile_scenario,eval_source,status,error_message,throughput_bytes_per_sec,avg_semantic_comparisons_per_visited_state
BM1,coarse,coarse,off,B3,clang,clang_Os,-Os,A,same_A,same_A,A,completed,,166083671.98691598,4.04004064240929
BM1,coarse,coarse,off,B4,gcc,gcc_O2,-O2,A,same_A,same_A,A,completed,,178931799.31096226,2.268119547934204
BM1,coarse,coarse,off,B4,gcc,gcc_O3,-O3,A,same_A,same_A,A,completed,,208726955.653281,2.268119547934204
BM1,coarse,coarse,off,B4,gcc,gcc_Os,-Os,A,same_A,same_A,A,completed,,179129082.61183667,2.268119547934204
BM1,coarse,coarse,off,B4,clang,clang_O2,-O2,A,same_A,same_A,A,completed,,5745085106382.9795,2.268119547934204
BM1,coarse,coarse,off,B4,clang,clang_O3,-O3,A,same_A,same_A,A,completed,,5625395833333.333,2.268119547934204
BM1,coarse,coarse,off,B4,clang,clang_Os,-Os,A,same_A,same_A,A,completed,,181244160.32132998,2.268119547934204
BM1,coarse,coarse,off,B3,gcc,gcc_O2,-O2,B,same_B,same_B,B,completed,,179244877.2156779,3.5934624903466688
BM1,coarse,coarse,off,B3,gcc,gcc_O3,-O3,B,same_B,same_B,B,completed,,198103647.88069004,3.5934624903466688
BM1,coarse,coarse,off,B3,gcc,gcc_Os,-Os,B,same_B,same_B,B,completed,,169875661.51546493,3.5934624903466688
BM1,coarse,coarse,off,B3,clang,clang_O2,-O2,B,same_B,same_B,B,completed,,4687895833333.333,3.5934624903466688
BM1,coarse,coarse,off,B3,clang,clang_O3,-O3,B,same_B,same_B,B,completed,,5000422222222.223,3.5934624903466688
BM1,coarse,coarse,off,B3,clang,clang_Os,-Os,B,same_B,same_B,B,completed,,192603783.2748438,3.5934624903466688
BM1,coarse,coarse,off,B4,gcc,gcc_O2,-O2,B,same_B,same_B,B,completed,,195660869.2174052,2.129755975944202
BM1,coarse,coarse,off,B4,gcc,gcc_O3,-O3,B,same_B,same_B,B,completed,,231260251.67212737,2.129755975944202
BM1,coarse,coarse,off,B4,gcc,gcc_Os,-Os,B,same_B,same_B,B,completed,,201179797.53186643,2.129755975944202
BM1,coarse,coarse,off,B4,clang,clang_O2,-O2,B,same_B,same_B,B,completed,,4891717391304.348,2.129755975944202
BM1,coarse,coarse,off,B4,clang,clang_O3,-O3,B,same_B,same_B,B,completed,,4891717391304.348,2.129755975944202
BM1,coarse,coarse,off,B4,clang,clang_Os,-Os,B,same_B,same_B,B,completed,,192660676.13906357,2.129755975944202
BM1,coarse,coarse,off,B3,gcc,gcc_O2,-O2,A,A_to_B,A_to_B,B,completed,,181533985.93996817,3.5934624903466688
BM1,coarse,coarse,off,B3,gcc,gcc_O3,-O3,A,A_to_B,A_to_B,B,completed,,187529898.07568902,3.5934624903466688
BM1,coarse,coarse,off,B3,gcc,gcc_Os,-Os,A,A_to_B,A_to_B,B,completed,,170832346.38534093,3.5934624903466688
BM1,coarse,coarse,off,B3,clang,clang_O2,-O2,A,A_to_B,A_to_B,B,completed,,4891717391304.348,3.5934624903466688
